,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,Label
0,7.52785,100.0,22.2,47.8,13.0,925,951,938,954,0
1,7.430060000000001,100.0,22.2,47.8,12.9,931,953,935,950,0
2,7.406689999999997,100.0,22.2,47.8,13.0,932,952,937,950,0
3,7.52365,100.0,22.2,47.9,13.0,923,950,942,950,0
4,7.43734,100.0,22.3,47.6,13.3,920,952,945,954,0
5,7.52263,100.0,22.4,47.4,12.9,866,951,940,952,0
6,7.4409,100.0,22.5,48.2,13.1,846,949,937,950,0
7,7.4328699999999985,100.0,22.5,48.2,14.3,912,912,951,951,1
8,7.34301,100.0,22.5,48.3,13.2,922,948,949,951,0
9,7.3538,100.0,22.7,46.9,13.1,943,951,934,951,0
10,7.401489999999999,100.0,22.7,43.8,12.9,941,952,932,951,0
11,7.36877,100.0,22.7,43.1,12.9,929,950,949,951,0
12,7.42307,100.0,22.7,43.1,13.0,918,951,941,952,0
13,7.432469999999999,100.0,22.7,43.0,13.0,936,949,925,954,0
14,7.3372600000000014,100.0,22.9,43.8,13.2,932,950,940,950,0
15,7.35323,100.0,22.9,44.6,13.1,854,950,937,952,0
16,7.377569999999999,100.0,22.9,44.7,13.2,924,821,936,954,0
17,7.40309,100.0,22.9,44.8,12.9,822,951,929,950,0
18,7.44848,100.0,23.2,46.3,13.1,905,906,942,950,0
19,7.339180000000002,100.0,23.2,46.3,12.9,934,944,946,955,0
20,7.4394300000000015,100.0,23.2,46.3,12.9,937,952,947,953,0
21,7.510789999999999,100.0,23.2,46.3,12.9,929,952,941,954,0
22,7.35657,100.0,23.2,46.3,13.3,879,953,952,952,0
23,7.352060000000002,100.0,23.2,46.3,13.0,831,951,935,949,0
24,7.4304,100.0,23.2,46.4,13.1,911,936,954,951,0
25,7.42342,100.0,23.2,46.4,12.8,934,933,931,953,0
26,7.34858,100.0,23.2,46.4,13.0,927,952,942,949,0
27,7.3639,100.0,23.2,46.5,13.1,818,952,941,951,0
28,7.3458,100.0,23.3,46.4,13.0,941,937,927,949,0
29,7.4043199999999985,100.0,23.3,46.4,13.0,933,951,938,952,0
30,7.3597199999999985,100.0,23.3,46.4,12.9,929,953,940,949,0
31,7.44327,100.0,23.4,46.4,13.0,935,951,939,951,0
32,7.34858,100.0,23.4,46.6,13.1,939,952,952,953,0
33,7.37978,100.0,23.4,46.6,13.0,819,952,924,952,0
34,7.40114,100.0,23.4,46.6,13.0,933,955,931,956,0
35,7.40497,100.0,23.4,46.8,13.0,873,952,947,954,0
36,7.45208,100.0,23.4,46.9,13.0,936,936,947,951,1
37,7.438039999999999,100.0,23.4,46.9,13.2,762,954,923,953,0
38,7.47146,100.0,23.4,46.6,13.0,929,937,947,950,0
39,7.4829,100.0,23.4,46.6,12.9,941,952,925,949,0
40,7.332219999999999,100.0,23.4,46.7,13.1,941,952,930,951,1
41,7.4001,100.0,23.4,46.7,13.0,860,951,946,953,0
42,7.44813,100.0,23.3,46.7,13.0,924,942,941,952,0
43,7.34162,100.0,23.5,46.8,13.0,925,951,939,950,0
44,7.451060000000001,100.0,23.5,46.9,13.1,937,949,940,951,0
45,7.42024,100.0,23.4,46.7,12.9,884,951,944,950,1
46,7.39105,100.0,23.4,46.5,12.9,920,946,940,951,0
47,7.48747,100.0,23.4,46.2,12.9,928,948,938,950,0
48,7.33988,100.0,23.5,45.5,13.1,848,952,943,952,0
49,7.468669999999999,100.0,23.5,44.6,13.1,928,917,947,950,0
50,7.4439600000000015,100.0,23.5,44.5,13.1,920,951,948,950,0
51,7.45343,100.0,23.5,44.2,13.2,931,913,943,951,0
52,7.32108,100.0,23.5,43.4,13.0,933,953,948,950,0
53,7.337089999999999,100.0,23.5,43.2,13.1,871,950,936,954,0
54,7.367380000000002,100.0,23.5,42.8,13.1,941,935,933,950,0
55,7.3879100000000015,100.0,23.5,42.4,13.0,858,951,937,951,0
56,7.4363,100.0,23.5,42.6,13.1,935,937,923,949,0
57,7.40026,100.0,23.5,42.7,12.9,940,952,927,954,1
58,7.329089999999999,100.0,23.5,43.0,12.9,757,952,937,951,0
59,7.398560000000002,100.0,23.5,43.0,13.1,944,945,936,952,0
60,7.46937,100.0,23.5,43.1,12.9,840,951,941,952,0
61,7.396960000000001,100.0,23.5,43.1,13.0,871,935,939,952,0
62,7.34023,100.0,23.5,43.1,12.9,912,939,935,950,1
63,7.44048,100.0,23.5,43.1,12.9,938,945,925,951,0
64,7.424460000000002,100.0,23.5,43.2,13.0,942,951,930,953,0
65,7.365289999999999,100.0,23.5,43.2,13.0,932,952,922,949,0
66,7.37155,100.0,23.5,43.4,13.0,933,951,940,951,0
67,7.32561,100.0,23.5,43.5,12.9,869,951,930,948,1
